,entity,score,index,word,start,end
609,I-UN,0.91754067,4,E,7,8
610,I-UN,0.93237215,5,##X,8,9
611,I-UN,0.9387487,6,##PO,9,11
612,I-UN,0.94682413,7,-,12,13
613,I-UN,0.919299,8,Messe,14,19
614,I-UN,0.8393392,9,:,20,21
615,I-UN,0.70119035,10,Cons,22,26
616,I-UN,0.7428946,12,##ing,29,32
617,I-UN,0.76673347,13,:,33,34
618,I-UN,0.58381057,14,Pro,35,38
619,I-UN,0.84663683,16,Management,43,53
620,I-UN,0.94112915,17,Verwaltungs,54,65
621,I-UN,0.9522661,18,GmbH,66,70
622,B-UN,0.9448843,1,Euro,0,4
623,I-UN,0.8608922,2,##fin,4,7
624,I-UN,0.9731363,3,##s,7,8
625,I-UN,0.95883405,4,GS,9,11
626,I-UN,0.9899573,5,##C,11,12
627,I-UN,0.991731,6,Germany,13,20
628,I-UN,0.9916881,7,GmbH,21,25
629,B-UN,0.9162077,1,E,0,1
630,B-UN,0.6110084,2,##Q,1,2
631,I-UN,0.77028465,3,##U,2,3
632,I-UN,0.92707115,4,##IN,3,5
633,I-UN,0.937389,5,##O,5,6
634,I-UN,0.9769945,6,##X,6,7
635,I-UN,0.9888226,7,Investment,8,18
636,I-UN,0.9909003,8,GmbH,19,23
637,B-UN,0.98387396,1,Sel,0,3
638,I-UN,0.69031364,2,##l,3,4
639,I-UN,0.9718597,3,Fac,5,8
640,I-UN,0.9788377,4,##ilit,8,12
641,I-UN,0.9743509,5,##y,12,13
642,I-UN,0.9780402,6,Services,14,22
643,I-UN,0.98964256,7,GmbH,23,27
644,B-UN,0.9377209,1,Lu,0,2
645,I-UN,0.7592103,2,##zem,2,5
646,I-UN,0.90873635,3,##ann,5,8
647,I-UN,0.9764098,4,Services,9,17
648,I-UN,0.9786063,5,Verwaltungs,18,29
649,I-UN,0.9782245,6,##gesellschaft,29,41
650,I-UN,0.9833613,7,mbH,42,45
651,B-UN,0.95948374,1,Sa,0,2
652,B-UN,0.68056536,2,##sol,2,5
653,I-UN,0.96333486,3,Wa,6,8
654,I-UN,0.985463,4,##x,8,9
655,I-UN,0.9855399,5,GmbH,10,14
656,B-UN,0.97650766,1,Mol,0,3
657,I-UN,0.91172403,2,##ten,3,6
658,I-UN,0.991091,3,Europe,7,13
659,I-UN,0.9924908,4,GmbH,14,18
660,B-UN,0.7284977,1,VI,0,2
661,I-UN,0.42690724,2,##ER,2,4
662,I-UN,0.83209944,3,##T,4,5
663,I-UN,0.9454663,4,##E,5,6
664,I-UN,0.9426584,5,Fonds,7,12
665,I-UN,0.9480108,6,-,12,13
666,I-UN,0.95594114,7,Beteiligungs,13,25
667,I-UN,0.96432567,8,##gesellschaft,25,37
668,I-UN,0.9680481,9,mbH,38,41
669,B-UN,0.8469485,1,G,0,1
670,B-UN,0.5256037,2,##EN,1,3
671,I-UN,0.92406666,3,##IG,3,5
672,I-UN,0.95857143,4,##O,5,6
673,I-UN,0.9872313,5,GmbH,7,11
674,B-UN,0.88078696,1,W,0,1
675,B-UN,0.52550477,2,##E,1,2
676,I-UN,0.769814,3,##H,2,3
677,I-UN,0.9465847,4,##R,3,4
678,I-UN,0.9689405,5,B,5,6
679,I-UN,0.9676394,6,##U,6,7
680,I-UN,0.9554392,7,##L,7,8
681,I-UN,0.9708746,8,##K,8,9
682,I-UN,0.96764505,9,##CA,9,11
683,I-UN,0.97788405,10,##RR,11,13
684,I-UN,0.9836224,11,##I,13,14
685,I-UN,0.98468,12,##ER,14,16
686,I-UN,0.9861457,13,##S,16,17
687,I-UN,0.9919635,14,GmbH,18,22
688,I-UN,0.9886479,15,&,23,24
689,I-UN,0.98231435,16,Co,25,27
690,I-UN,0.98539424,17,KG,28,30
691,B-UN,0.9310521,1,R,0,1
692,I-UN,0.9311105,2,.,1,2
693,I-UN,0.9764965,3,F,2,3
694,I-UN,0.9881838,4,.,3,4
695,I-UN,0.9882185,5,L,4,5
696,I-UN,0.9891517,6,.,5,6
697,I-UN,0.9910096,7,Gewerbe,7,14
698,I-UN,0.9926865,8,Immobilien,15,25
699,I-UN,0.9934976,9,Verwaltungs,26,37
700,I-UN,0.9940951,10,GmbH,38,42
701,I-UN,0.52593344,1,Verwaltungs,0,11
702,I-UN,0.90245384,2,##gesellschaft,11,23
703,I-UN,0.8198224,3,EG,24,26
704,I-UN,0.9719087,4,##R,26,27
705,I-UN,0.97601944,5,##IM,27,29
706,I-UN,0.97775054,6,##A,29,30
707,I-UN,0.9850109,7,mbH,31,34
708,B-UN,0.9736951,1,Lamp,0,4
709,I-UN,0.8967842,2,##e,4,5
710,I-UN,0.94253093,3,Ass,6,9
711,I-UN,0.95776516,4,##et,9,11
712,I-UN,0.9626961,5,Management,12,22
713,I-UN,0.9807131,6,GmbH,23,27
714,B-STR,0.5484941,1,Hart,0,4
715,I-STR,0.32261217,2,##ungs,4,8
716,I-UN,0.3817769,3,##tra,8,11
717,I-UN,0.5186478,4,##ße,11,13
718,I-UN,0.7203929,5,12,14,16
719,I-UN,0.93835723,6,Verwaltungs,17,28
720,I-UN,0.93760544,7,##gesellschaft,28,40
721,I-UN,0.93640584,8,mbH,41,44
722,B-UN,0.9664406,1,ES,0,2
723,I-UN,0.98222554,2,Medien,3,9
724,I-UN,0.9845366,3,Agentur,10,17
725,I-UN,0.97852707,4,+,18,19
726,I-UN,0.9775564,5,Handels,20,27
727,I-UN,0.9795814,6,##gesellschaft,27,39
728,I-UN,0.98020554,7,mbH,40,43
729,I-UN,0.97368366,8,&,44,45
730,I-UN,0.94821805,9,Co,46,48
731,I-UN,0.8233747,10,.,48,49
732,I-UN,0.9461883,11,KG,50,52
733,B-PER,0.7005366,1,De,0,2
734,I-PER,0.5675053,3,##o,5,6
735,B-UN,0.7340961,1,N,0,1
736,I-UN,0.4688912,2,##PC,1,3
737,I-UN,0.8958955,3,H,4,5
738,I-UN,0.7435986,4,##O,5,6
739,I-UN,0.86003387,5,##T,6,7
740,I-UN,0.8899192,6,##EL,7,9
741,I-UN,0.8566448,7,##EN,9,11
742,I-UN,0.82962954,8,##T,11,12
743,I-UN,0.8946191,9,##W,12,13
744,I-UN,0.8752322,10,##IC,13,15
745,I-UN,0.8256909,11,##K,15,16
746,I-UN,0.7291604,12,##L,16,17
747,I-UN,0.72865146,13,##UN,17,19
748,I-UN,0.6933653,14,##G,19,20
749,I-UN,0.88832307,15,##S,20,21
750,I-UN,0.95255816,16,U,22,23
751,I-UN,0.9622033,17,.,23,24
752,I-UN,0.9415982,18,-,25,26
753,I-UN,0.94920105,19,M,27,28
754,I-UN,0.9305492,20,##AN,28,30
755,I-UN,0.96067274,21,##AG,30,32
756,I-UN,0.97107106,22,##EM,32,34
757,I-UN,0.96803254,23,##EN,34,36
758,I-UN,0.9758705,24,##T,36,37
759,I-UN,0.98101175,25,GmbH,38,42
760,B-UN,0.93764275,1,T,0,1
761,I-UN,0.53564507,2,##RA,1,3
762,I-UN,0.9608189,3,##C,3,4
763,I-UN,0.96754974,4,##O,4,5
764,I-UN,0.98246944,5,##A,5,6
765,I-UN,0.9906573,6,GmbH,7,11
766,B-UN,0.8419144,1,Mu,0,2
767,I-UN,0.3234856,2,##ehl,2,5
768,I-UN,0.792398,3,##han,5,8
769,I-UN,0.9759881,4,Deutschland,9,20
770,I-UN,0.97906566,5,GmbH,21,25
771,B-UN,0.47487253,1,Harb,0,4
772,I-UN,0.939772,2,##urg,4,7
773,I-UN,0.9711811,3,-,7,8
774,I-UN,0.97490656,4,Freude,8,14
775,I-UN,0.97542804,5,##n,14,15
776,I-UN,0.9800054,6,##berger,15,21
777,I-UN,0.98580986,7,Maschinenbau,22,34
778,I-UN,0.98897344,8,GmbH,35,39
